alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-1.625000,100.000000,0.300000,-0.340746,0.000000,1.000000
-1.625000,100.000000,1.000000,-0.000000,0.000000,1.000000
-1.625000,100.000000,0.750000,-0.013299,0.000000,1.000000
-1.625000,100.000000,0.600000,-0.058569,0.000000,1.000000
-1.375000,10.000000,0.150000,-0.709597,0.000000,1.000000
-1.375000,10.000000,0.550000,-0.503285,0.000000,1.000000
-1.625000,100.000000,0.900000,-0.017706,0.000000,1.000000
-1.375000,10.000000,0.750000,-0.415990,0.000000,1.000000
-1.375000,10.000000,0.800000,-0.458536,0.000000,1.000000
-1.375000,10.000000,0.850000,-0.378856,0.000000,1.000000
-1.375000,10.000000,0.900000,-0.361747,0.000000,1.000000
-1.375000,10.000000,0.950000,-0.345545,0.000000,1.000000
-1.625000,100.000000,0.650000,-0.084299,0.000000,1.000000
-1.375000,10.000000,1.000000,-0.401300,0.000000,1.000000
-1.625000,100.000000,0.850000,-0.000176,0.000000,1.000000
-1.625000,100.000000,0.950000,-0.013012,0.000000,1.000000
-1.375000,25.000000,0.000000,-0.910732,0.000000,1.000000
-1.625000,100.000000,0.800000,-0.031213,0.000000,1.000000
-1.375000,25.000000,0.050000,-0.848149,0.000000,1.000000
-1.375000,10.000000,0.650000,-0.501270,0.000000,1.000000
-1.375000,25.000000,0.100000,-0.787638,0.000000,1.000000
-1.375000,25.000000,0.150000,-0.743726,0.000000,1.000000
-1.375000,25.000000,0.200000,-0.695268,0.000000,1.000000
-1.375000,25.000000,0.400000,-0.504268,0.000000,1.000000
-1.375000,25.000000,0.450000,-0.487831,0.000000,1.000000
-1.375000,25.000000,0.250000,-0.643987,0.000000,1.000000
-1.375000,25.000000,0.350000,-0.547018,0.000000,1.000000
-1.375000,25.000000,0.500000,-0.428155,0.000000,1.000000
-1.375000,25.000000,0.550000,-0.413293,0.000000,1.000000
-1.375000,25.000000,0.600000,-0.363698,0.000000,1.000000
-1.375000,25.000000,0.750000,-0.287065,0.000000,1.000000
-1.375000,25.000000,0.650000,-0.344639,0.000000,1.000000
-1.375000,25.000000,0.800000,-0.308135,0.000000,1.000000
-1.375000,25.000000,0.700000,-0.310224,0.000000,1.000000
-1.375000,25.000000,0.300000,-0.593215,0.000000,1.000000
-1.375000,25.000000,0.900000,-0.229288,0.000000,1.000000
-1.375000,25.000000,0.850000,-0.246790,0.000000,1.000000
-1.375000,25.000000,1.000000,-0.198742,0.000000,1.000000
-1.375000,25.000000,0.950000,-0.213320,0.000000,1.000000
-1.375000,50.000000,0.000000,-1.092575,0.000000,1.000000
-1.375000,50.000000,0.050000,-0.957609,0.000000,1.000000
-1.375000,50.000000,0.100000,-0.864767,0.000000,1.000000
-1.375000,50.000000,0.150000,-0.763111,0.000000,1.000000
-1.375000,50.000000,0.200000,-0.666727,0.000000,1.000000
-1.375000,50.000000,0.250000,-0.582004,0.000000,1.000000
-1.375000,50.000000,0.300000,-0.469959,0.000000,1.000000
-1.375000,50.000000,0.350000,-0.393554,0.000000,1.000000
-1.375000,50.000000,0.450000,-0.275715,0.000000,1.000000
-1.375000,50.000000,0.500000,-0.230104,0.000000,1.000000
-1.375000,50.000000,0.400000,-0.394994,0.000000,1.000000
-1.375000,50.000000,0.700000,-0.106209,0.000000,1.000000
-1.375000,50.000000,0.750000,-0.085763,0.000000,1.000000
-1.375000,50.000000,0.850000,-0.053679,0.000000,1.000000
-1.375000,50.000000,1.000000,-0.022440,0.000000,1.000000
-1.375000,50.000000,0.650000,-0.204294,0.000000,1.000000
-1.375000,50.000000,0.600000,-0.220398,0.000000,1.000000
-1.375000,50.000000,0.550000,-0.247206,0.000000,1.000000
-1.375000,50.000000,0.800000,-0.166355,0.000000,1.000000
-1.375000,50.000000,0.900000,-0.136059,0.000000,1.000000
-1.375000,50.000000,0.950000,-0.122468,0.000000,1.000000
-1.125000,10.000000,0.000000,-0.791778,0.000000,1.000000
-1.125000,10.000000,0.050000,-0.761281,0.000000,1.000000
-1.125000,10.000000,0.100000,-0.761776,0.000000,1.000000
-1.125000,10.000000,0.150000,-0.744662,0.000000,1.000000
-1.125000,10.000000,0.250000,-0.701699,0.000000,1.000000
-1.375000,100.000000,0.100000,-0.898120,0.000000,1.000000
-1.375000,100.000000,0.000000,-1.447329,0.000000,1.000000
-1.125000,10.000000,0.200000,-0.717205,0.000000,1.000000
-1.375000,100.000000,0.650000,-0.077149,0.000000,1.000000
-1.375000,100.000000,0.300000,-0.372393,0.000000,1.000000
-1.375000,100.000000,0.050000,-1.143184,0.000000,1.000000
-1.375000,100.000000,0.200000,-0.546168,0.000000,1.000000
-1.375000,100.000000,0.500000,-0.146527,0.000000,1.000000
-1.125000,10.000000,0.350000,-0.658065,0.000000,1.000000
