alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.375000,100.000000,0.450000,-0.534986,0.000000,1.000000
-1.375000,100.000000,0.750000,-0.469151,0.000000,1.000000
-1.375000,100.000000,0.950000,-0.425769,0.000000,1.000000
-1.125000,25.000000,0.200000,-0.700014,0.000000,1.000000
-1.375000,100.000000,0.200000,-0.592480,0.000000,1.000000
-1.125000,25.000000,0.050000,-0.708401,0.000000,1.000000
-1.375000,100.000000,0.250000,-0.578751,0.000000,1.000000
-1.375000,100.000000,0.900000,-0.436535,0.000000,1.000000
-1.375000,100.000000,0.400000,-0.545711,0.000000,1.000000
-1.125000,10.000000,0.950000,-0.697811,0.000000,1.000000
-1.375000,100.000000,0.650000,-0.494823,0.000000,1.000000
-1.125000,25.000000,0.000000,-0.710616,0.000000,1.000000
-1.125000,25.000000,0.150000,-0.704767,0.000000,1.000000
-1.375000,100.000000,0.500000,-0.524106,0.000000,1.000000
-1.375000,100.000000,0.000000,-0.632287,0.000000,1.000000
-1.375000,100.000000,0.850000,-0.447066,0.000000,1.000000
-1.125000,25.000000,0.100000,-0.705776,0.000000,1.000000
-1.125000,25.000000,0.250000,-0.695411,0.000000,1.000000
-1.125000,10.000000,1.000000,-0.694120,0.000000,1.000000
-1.125000,25.000000,0.350000,-0.689907,0.000000,1.000000
-1.125000,25.000000,0.300000,-0.689986,0.000000,1.000000
-1.125000,25.000000,0.450000,-0.684847,0.000000,1.000000
-1.125000,25.000000,0.750000,-0.670533,0.000000,1.000000
-1.125000,25.000000,0.600000,-0.678634,0.000000,1.000000
-1.125000,25.000000,0.650000,-0.677407,0.000000,1.000000
-1.125000,25.000000,0.900000,-0.663112,0.000000,1.000000
-1.125000,25.000000,0.700000,-0.675190,0.000000,1.000000
-1.125000,25.000000,0.400000,-0.692328,0.000000,1.000000
-1.125000,25.000000,0.500000,-0.684027,0.000000,1.000000
-1.125000,25.000000,0.800000,-0.667834,0.000000,1.000000
-1.125000,25.000000,0.550000,-0.683447,0.000000,1.000000
-1.125000,25.000000,1.000000,-0.657053,0.000000,1.000000
-1.125000,25.000000,0.850000,-0.665135,0.000000,1.000000
-1.125000,25.000000,0.950000,-0.660214,0.000000,1.000000
-1.125000,50.000000,0.050000,-0.699578,0.000000,1.000000
-1.125000,50.000000,0.100000,-0.694277,0.000000,1.000000
-1.125000,50.000000,0.000000,-0.704594,0.000000,1.000000
-1.125000,50.000000,0.150000,-0.695679,0.000000,1.000000
-1.125000,50.000000,0.250000,-0.679789,0.000000,1.000000
-1.125000,50.000000,0.300000,-0.674535,0.000000,1.000000
-1.125000,50.000000,0.350000,-0.673143,0.000000,1.000000
-1.125000,50.000000,0.200000,-0.686512,0.000000,1.000000
-1.125000,50.000000,0.400000,-0.662497,0.000000,1.000000
-1.125000,50.000000,0.550000,-0.647502,0.000000,1.000000
-1.125000,50.000000,0.450000,-0.659434,0.000000,1.000000
-1.125000,50.000000,0.500000,-0.654437,0.000000,1.000000
-1.125000,50.000000,0.650000,-0.635864,0.000000,1.000000
-1.125000,50.000000,0.750000,-0.627967,0.000000,1.000000
-1.125000,50.000000,0.600000,-0.644490,0.000000,1.000000
-1.125000,50.000000,0.850000,-0.618366,0.000000,1.000000
-1.125000,50.000000,0.700000,-0.638208,0.000000,1.000000
-1.125000,50.000000,1.000000,-0.604133,0.000000,1.000000
-0.875000,10.000000,0.050000,-0.778912,0.000000,1.000000
-1.125000,50.000000,0.800000,-0.623154,0.000000,1.000000
-0.875000,10.000000,0.100000,-0.776813,0.000000,1.000000
-0.875000,10.000000,0.150000,-0.775635,0.000000,1.000000
-0.875000,10.000000,0.000000,-0.779124,0.000000,1.000000
-1.125000,50.000000,0.900000,-0.614251,0.000000,1.000000
-0.875000,10.000000,0.250000,-0.775596,0.000000,1.000000
-0.875000,10.000000,0.350000,-0.774120,0.000000,1.000000
-0.875000,10.000000,0.300000,-0.772228,0.000000,1.000000
-1.125000,50.000000,0.950000,-0.609184,0.000000,1.000000
-0.875000,10.000000,0.200000,-0.775400,0.000000,1.000000
-0.875000,10.000000,0.400000,-0.772378,0.000000,1.000000
-1.125000,100.000000,0.000000,-0.699552,0.000000,1.000000
-1.125000,100.000000,0.450000,-0.611296,0.000000,1.000000
-0.875000,10.000000,0.450000,-0.769563,0.000000,1.000000
-0.875000,10.000000,0.500000,-0.769589,0.000000,1.000000
-0.875000,10.000000,0.700000,-0.768135,0.000000,1.000000
-0.875000,10.000000,0.550000,-0.768540,0.000000,1.000000
-0.875000,10.000000,0.600000,-0.768907,0.000000,1.000000
-0.875000,10.000000,0.650000,-0.768018,0.000000,1.000000
-0.875000,10.000000,0.900000,-0.756190,0.000000,1.000000
-0.875000,10.000000,0.850000,-0.762192,0.000000,1.000000
-0.875000,10.000000,0.950000,-0.760066,0.000000,1.000000
-0.875000,10.000000,0.750000,-0.762853,0.000000,1.000000
-0.875000,10.000000,0.800000,-0.763254,0.000000,1.000000
-1.125000,100.000000,0.700000,-0.567140,0.000000,1.000000
-1.125000,100.000000,0.300000,-0.644949,0.000000,1.000000
-1.125000,100.000000,1.000000,-0.509180,0.000000,1.000000
-1.125000,100.000000,0.550000,-0.591346,0.000000,1.000000
-0.875000,10.000000,1.000000,-0.759002,0.000000,1.000000
-1.125000,100.000000,0.250000,-0.651789,0.000000,1.000000
-1.125000,100.000000,0.900000,-0.528689,0.000000,1.000000
-0.875000,25.000000,0.000000,-0.770388,0.000000,1.000000
-1.125000,100.000000,0.850000,-0.533075,0.000000,1.000000
