alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.375000,10.000000,0.040000,-0.786528,0.000000,1.000000
-1.625000,100.000000,0.090000,-2.580359,0.000000,1.000000
-1.375000,25.000000,-0.010000,-0.424876,0.000000,1.000000
-1.375000,25.000000,0.000000,-0.646918,0.000000,1.000000
-1.625000,100.000000,0.000000,-0.566375,0.000000,1.000000
-1.625000,100.000000,0.100000,-2.727015,0.000000,1.000000
-1.375000,25.000000,0.020000,-0.829207,0.000000,1.000000
-1.375000,100.000000,-0.090000,nan,0.000000,5.000000
-1.375000,25.000000,0.030000,-0.903696,0.000000,1.000000
-1.375000,25.000000,0.040000,-0.972821,0.000000,1.000000
-1.625000,100.000000,0.040000,-1.715237,0.000000,1.000000
-1.375000,25.000000,0.090000,-1.253174,0.000000,1.000000
-1.375000,100.000000,-0.100000,nan,0.000000,5.000000
-1.625000,100.000000,0.050000,-1.914575,0.000000,1.000000
-1.375000,25.000000,0.060000,-1.094561,0.000000,1.000000
-1.375000,100.000000,-0.080000,nan,0.000000,5.000000
-1.375000,25.000000,0.010000,-0.745343,0.000000,1.000000
-1.375000,100.000000,-0.070000,nan,0.000000,5.000000
-1.375000,25.000000,0.050000,-1.034132,0.000000,1.000000
-1.625000,100.000000,0.080000,-2.427409,0.000000,1.000000
-1.625000,100.000000,0.070000,-2.263609,0.000000,1.000000
-1.625000,100.000000,0.060000,-2.092993,0.000000,1.000000
-1.375000,25.000000,0.100000,-1.301409,0.000000,1.000000
-1.375000,25.000000,0.080000,-1.201973,0.000000,1.000000
-1.375000,25.000000,0.070000,-1.150754,0.000000,1.000000
-1.375000,100.000000,-0.060000,nan,0.000000,5.000000
-1.125000,10.000000,-0.100000,nan,0.000000,5.000000
-1.125000,10.000000,-0.090000,nan,0.000000,5.000000
-1.125000,10.000000,-0.070000,nan,0.000000,5.000000
-1.125000,10.000000,-0.080000,nan,0.000000,5.000000
-1.375000,100.000000,-0.050000,nan,0.000000,5.000000
-1.375000,100.000000,-0.040000,nan,0.000000,5.000000
-1.375000,100.000000,-0.020000,nan,0.000000,5.000000
-1.125000,10.000000,-0.060000,nan,0.000000,5.000000
-1.375000,100.000000,-0.030000,nan,0.000000,5.000000
-1.375000,50.000000,0.010000,-0.828811,0.000000,1.000000
-1.375000,50.000000,0.020000,-0.978134,0.000000,1.000000
-1.375000,50.000000,0.000000,-0.645563,0.000000,1.000000
-1.375000,50.000000,0.030000,-1.104556,0.000000,1.000000
-1.375000,50.000000,0.070000,-1.505813,0.000000,1.000000
-1.375000,50.000000,0.100000,-1.746696,0.000000,1.000000
-1.375000,50.000000,0.050000,-1.319939,0.000000,1.000000
-1.375000,100.000000,-0.010000,nan,0.000000,5.000000
-1.375000,50.000000,0.060000,-1.414366,0.000000,1.000000
-1.125000,25.000000,-0.070000,nan,0.000000,5.000000
-1.125000,25.000000,-0.060000,nan,0.000000,5.000000
-1.375000,50.000000,0.080000,-1.586901,0.000000,1.000000
-1.375000,50.000000,0.040000,-1.217584,0.000000,1.000000
-1.125000,25.000000,-0.050000,nan,0.000000,5.000000
-1.375000,50.000000,0.090000,-1.667205,0.000000,1.000000
-1.125000,25.000000,-0.100000,nan,0.000000,5.000000
-1.125000,25.000000,-0.090000,nan,0.000000,5.000000
-1.125000,25.000000,-0.080000,nan,0.000000,5.000000
-1.125000,25.000000,-0.040000,nan,0.000000,5.000000
-1.125000,25.000000,-0.030000,nan,0.000000,5.000000
-1.125000,50.000000,-0.100000,nan,0.000000,5.000000
-1.125000,10.000000,-0.040000,-0.389368,0.000000,1.000000
-1.125000,50.000000,-0.090000,nan,0.000000,5.000000
-1.125000,50.000000,-0.060000,nan,0.000000,5.000000
-1.125000,10.000000,-0.020000,-0.577683,0.000000,1.000000
-1.125000,50.000000,-0.030000,nan,0.000000,5.000000
-1.125000,50.000000,-0.080000,nan,0.000000,5.000000
-1.125000,10.000000,-0.050000,-0.253918,0.000000,1.000000
